date	diversity	tmrca	netau	serialInterval	antigenicDiversity	totalN	totalS	totalI	totalR	totalCases	oneDiversity	oneTmrca	oneNetau	oneSerialInterval	oneAntigenicDiversity	oneN	oneS	oneI	oneR	oneCases
0.0000	0.0000	0.0000	0.2740	0.00000	0.0000	500000	349900	100	150000	0	0.0000	0.0000	0.2740	0.00000	0.0000	500000	349900	100	150000	0
0.0277	0.0336	0.0274	0.2740	0.00321	0.0089	499937	262901	76429	160607	101792	0.0333	0.0274	0.2740	0.00316	0.0146	499937	262901	76429	160607	101792
0.0548	0.0537	0.0525	0.2740	0.00739	0.0186	499849	31993	78904	388952	259434	0.0533	0.0544	0.2740	0.00738	0.0189	499849	31993	78904	388952	259434
0.0822	0.0708	0.0810	0.2740	0.01348	0.0347	499764	59580	15568	424616	14801	0.0739	0.0808	0.2740	0.01412	0.0357	499764	59580	15568	424616	14801
0.1096	0.1061	0.1089	0.2740	0.02474	0.0492	500045	97521	3645	398879	4218	0.1068	0.1073	0.2740	0.02594	0.0434	500045	97521	3645	398879	4218
0.1370	0.1565	0.1366	0.2740	0.03174	0.0535	500346	134376	1095	364875	1625	0.1532	0.1364	0.2740	0.03212	0.0505	500346	134376	1095	364875	1625
0.1644	0.2113	0.1634	0.2740	0.03208	0.0850	500663	169045	444	331174	761	0.2091	0.1636	0.2740	0.03204	0.0816	500663	169045	444	331174	761
0.1918	0.2630	0.1914	0.2740	0.02892	0.1373	501014	200637	239	300138	402	0.2579	0.1907	0.2740	0.02912	0.1337	501014	200637	239	300138	402
0.2195	0.2942	0.2185	0.2740	0.02628	0.1374	501346	229794	145	271407	286	0.2950	0.2188	0.2740	0.02712	0.1104	501346	229794	145	271407	286
0.2468	0.3423	0.2460	0.2740	0.01598	0.2694	501639	255806	126	245707	213	0.3348	0.2460	0.2740	0.01452	0.2630	501639	255806	126	245707	213
0.2742	0.3962	0.2736	0.2740	0.01565	0.1836	502006	279440	114	222452	241	0.3955	0.2736	0.2740	0.01534	0.1643	502006	279440	114	222452	241
0.3016	0.4459	0.3014	1.9026	0.01351	0.3255	502195	300746	150	201299	293	0.4543	0.3012	2.0145	0.01514	0.3295	502195	300746	150	201299	293
0.3290	0.4349	0.3286	0.8753	0.01058	0.4398	502110	319679	205	182226	383	0.4292	0.3285	0.8082	0.01068	0.4509	502110	319679	205	182226	383
0.3564	0.4347	0.3559	0.6371	0.01243	0.4256	502008	336617	336	165055	620	0.4353	0.3562	0.6539	0.01221	0.4415	502008	336617	336	165055	620
0.3838	0.4676	0.3834	0.5842	0.01155	0.4162	501933	351314	607	150012	1201	0.4393	0.3833	0.5299	0.01201	0.3798	501933	351314	607	150012	1201
0.4112	0.4204	0.4110	0.4183	0.01034	0.2914	501882	363753	1037	137092	2007	0.4343	0.4107	0.4342	0.01052	0.3045	501882	363753	1037	137092	2007
0.4386	0.4624	0.4384	0.4047	0.01049	0.2855	501806	373209	2034	126563	3868	0.4559	0.4379	0.3982	0.01059	0.2717	501806	373209	2034	126563	3868
0.4660	0.4871	0.4653	0.3702	0.01083	0.2620	501724	377773	3921	120030	7677	0.4757	0.4652	0.3605	0.01058	0.2346	501724	377773	3921	120030	7677
0.4934	0.4968	0.4923	0.3378	0.01046	0.2226	501639	375718	7112	118809	13907	0.5092	0.4926	0.3446	0.01053	0.2421	501639	375718	7112	118809	13907
0.5208	0.5108	0.5200	0.3078	0.01104	0.1859	501528	366810	10235	124483	21019	0.5357	0.5203	0.3246	0.01100	0.2316	501528	366810	10235	124483	21019
0.5482	0.5548	0.5466	0.3058	0.01265	0.2101	501466	355812	11627	134027	23827	0.5497	0.5467	0.3031	0.01239	0.2079	501466	355812	11627	134027	23827
0.5756	0.5731	0.5738	0.7828	0.01305	0.2223	501412	349109	9973	142330	20408	0.5846	0.5733	0.8781	0.01357	0.2396	501412	349109	9973	142330	20408
0.6030	0.6292	0.6023	2.7126	0.01501	0.2685	501256	347986	7763	145507	15611	0.6233	0.6021	2.2095	0.01458	0.2904	501256	347986	7763	145507	15611
0.6304	0.6521	0.6270	3.4680	0.01484	0.3505	501184	350930	5764	144490	11669	0.6553	0.6241	3.8052	0.01547	0.4033	501184	350930	5764	144490	11669
