date	diversity	tmrca	netau	serialInterval	antigenicDiversity	totalN	totalS	totalI	totalR	totalCases	oneDiversity	oneTmrca	oneNetau	oneSerialInterval	oneAntigenicDiversity	oneN	oneS	oneI	oneR	oneCases
0.0000	0.0000	0.0000	0.2740	0.00000	0.0000	500000	349900	100	150000	0	0.0000	0.0000	0.2740	0.00000	0.0000	500000	349900	100	150000	0
0.0277	0.0336	0.0274	0.2740	0.00322	0.0064	499938	277637	60988	161313	87273	0.0347	0.0274	0.2740	0.00330	0.0085	499938	277637	60988	161313	87273
0.0548	0.0581	0.0542	0.2740	0.00712	0.0232	499858	41738	61337	396783	264850	0.0569	0.0538	0.2740	0.00738	0.0225	499858	41738	61337	396783	264850
0.0822	0.0788	0.0808	0.2740	0.01416	0.0335	499745	68832	8789	422124	15386	0.0820	0.0801	0.2740	0.01507	0.0366	499745	68832	8789	422124	15386
0.1096	0.1217	0.1093	0.2740	0.02483	0.0429	500004	107608	1590	390806	2960	0.1203	0.1090	0.2740	0.02439	0.0380	500004	107608	1590	390806	2960
0.1370	0.1729	0.1360	0.2740	0.02675	0.0391	500379	144973	373	355033	810	0.1710	0.1364	0.2740	0.02568	0.0451	500379	144973	373	355033	810
0.1644	0.1943	0.1640	0.2740	0.02086	0.0346	500700	179112	92	321496	260	0.1951	0.1640	0.2740	0.02274	0.0286	500700	179112	92	321496	260
0.1918	0.2693	0.1900	0.2740	0.03389	0.0000	501021	210152	34	290835	92	0.2661	0.1901	0.2740	0.03198	0.0000	501021	210152	34	290835	92
0.2195	0.2481	0.2175	0.2740	0.01664	0.0000	501378	238730	14	262634	37	0.2638	0.2175	0.2740	0.01601	0.0000	501378	238730	14	262634	37
0.2468	0.2545	0.2456	0.2740	0.02119	0.0000	501725	264305	8	237412	11	0.2390	0.2456	0.2740	0.02097	0.0000	501725	264305	8	237412	11
0.2742	0.0621	0.0711	0.2740	0.01520	0.0000	502018	287195	4	214819	11	0.0589	0.0711	0.2740	0.01479	0.0000	502018	287195	4	214819	11
0.3016	0.0713	0.0948	0.2740	0.01427	0.0000	502237	307940	4	194293	10	0.0715	0.0948	0.2740	0.01432	0.0000	502237	307940	4	194293	10
0.3290	0.0699	0.0611	0.2740	0.02719	0.0000	502123	326397	8	175718	19	0.0717	0.0611	0.2740	0.02796	0.0000	502123	326397	8	175718	19
0.3564	0.0496	0.0819	0.2740	0.00918	0.0000	501990	343054	12	158924	32	0.0514	0.0819	0.2740	0.00833	0.0000	501990	343054	12	158924	32
0.3838	0.0992	0.0863	0.2740	0.01402	0.0000	501885	358136	20	143729	46	0.0985	0.0863	0.2740	0.01412	0.0000	501885	358136	20	143729	46
0.4112	0.1268	0.1134	0.2740	0.00611	0.0884	501796	371737	14	130045	48	0.1272	0.1134	0.2740	0.00613	0.0871	501796	371737	14	130045	48
0.4386	0.1583	0.1419	0.2740	0.01237	0.1177	501733	384182	15	117536	37	0.1629	0.1419	0.2740	0.01296	0.1175	501733	384182	15	117536	37
0.4660	0.2016	0.1692	0.2740	0.01174	0.0869	501620	395531	36	106053	78	0.1951	0.1692	0.2740	0.01126	0.0900	501620	395531	36	106053	78
0.4934	0.1938	0.1967	0.2740	0.00887	0.0000	501560	405775	44	95741	129	0.1944	0.1967	0.2740	0.00854	0.0000	501560	405775	44	95741	129
0.5208	0.2624	0.2236	0.2740	0.00861	0.0000	501474	414869	65	86540	180	0.2631	0.2236	0.2740	0.00836	0.0000	501474	414869	65	86540	180
0.5482	0.2980	0.2521	0.2740	0.01178	0.0000	501425	423059	85	78281	190	0.2840	0.2514	0.2740	0.01125	0.0000	501425	423059	85	78281	190
0.5756	0.3375	0.2793	0.2740	0.00781	0.0319	501381	430285	135	70961	333	0.3313	0.2793	0.2740	0.00882	0.0344	501381	430285	135	70961	333
0.6030	0.3860	0.3067	0.3988	0.00885	0.0661	501286	436471	171	64644	447	0.3847	0.3067	0.3976	0.00891	0.0697	501286	436471	171	64644	447
0.6304	0.3893	0.3340	0.3892	0.00910	0.0607	501274	442033	247	58994	543	0.3929	0.3341	0.3931	0.00894	0.0567	501274	442033	247	58994	543
0.6578	0.4638	0.3616	0.4455	0.00911	0.0883	501154	446652	421	54081	965	0.4689	0.3616	0.4612	0.00937	0.0851	501154	446652	421	54081	965
0.6852	0.5161	0.3888	0.4551	0.00972	0.0905	501049	449950	789	50310	1855	0.5203	0.3888	0.4683	0.00956	0.0891	501049	449950	789	50310	1855
0.7126	0.5861	0.7085	0.5341	0.00864	0.1958	501009	450706	1837	48466	4238	0.5744	0.7101	0.5361	0.00787	0.1506	501009	450706	1837	48466	4238
0.7400	0.6375	0.7367	0.5684	0.00806	0.2198	500822	446132	4054	50636	9289	0.6345	0.7351	0.5696	0.00794	0.2295	500822	446132	4054	50636	9289
0.7674	0.7162	0.7637	0.9225	0.00882	0.3048	500694	433944	7478	59272	17602	0.7017	0.7653	0.8378	0.00833	0.2846	500694	433944	7478	59272	17602
0.7948	0.7486	0.7926	1.1416	0.00962	0.4478	500625	414349	10727	75549	26342	0.7526	0.7929	1.2863	0.00962	0.4569	500625	414349	10727	75549	26342
0.8222	0.7612	0.8166	1.1092	0.01029	0.7011	500474	395476	10832	94166	27405	0.7590	0.8188	1.0110	0.01078	0.6527	500474	395476	10832	94166	27405
0.8493	0.7227	0.8478	0.7465	0.01078	0.9286	500371	380866	9964	109541	24529	0.7205	0.8482	0.7385	0.01048	0.8911	500371	380866	9964	109541	24529
0.8767	0.5800	0.8708	0.4202	0.01042	0.7055	500295	366886	10534	122875	25621	0.6061	0.8558	0.4477	0.01064	0.6995	500295	366886	10534	122875	25621
0.9041	0.5025	0.8949	0.3293	0.00973	0.4013	500245	350328	12103	137814	29695	0.5017	0.6074	0.3273	0.00978	0.3863	500245	350328	12103	137814	29695
